Title,Name of BCI,Type of Media (tentative),Author,Image,Cover,Level of invasiveness,Utopia/Dystopia in the media,Category of BCI,Form-factor,Near Future,Date,Description,Utopia/Dystopia - tech-wise,Quotes,Keywords,Link,years since publication,Property,Notes,BCI forecast,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,Year,prediction,reality factor,BCIF: communication,NF: communication,TO: communication,neurafictionality,reality factor check,techno-optimism,important
Matrix,headjack,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/31t6q.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/91KdobKEWL._SX342_.jpg,Invasive,Dystopia,"consciousness transfer, knowledge upload, linking, storage",implant,100,"Jan 1, 1999","connecting to virtual reality, uploading the skills, data transfer ",utopia,,XR,,22,,,122,,0.180327868852,0.180327868852,,,,0.180327868852,0.180327868852,,0.180327868852,,,,,,,,,0.180327868852,,,,0.180327868852,1999,2121,0.180327868852,122,0.127906976744,0.709302325581,0.127906976744,0.180327868852,0.709302325581,
" Star Trek",Neural Scan Interface,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Neural_scan_interface.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BYTM1ZDc0MDEtYjhhMC00ZWFmLThlMTYtOTI2MTdkZDVhODQwXkEyXkFqcGdeQXVyMTQxNzMzNDI._V1_.jpg,Non-invasive,"Dystopia, Utopia","consciousness transfer, linking, reading thoughts",tool,100,"Jan 1, 1991","integrating Barclay's thought processes into the Enterprise-D itself, essentially allowing him to act as the ship's computer","dystopia, utopia",,piloting,,30,,,130,,0.230769230769,0.230769230769,,,,,0.230769230769,,,,0.230769230769,,,,,,,,,,,0.230769230769,1991,2121,0.230769230769,130,0.166666666667,0.722222222222,0.166666666667,0.23076923077,0.722222222222,
Pacific Rim,Headspace,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Drift_info_03.png,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Pacific_Rim_FilmPoster.jpeg,N/A,"Dystopia, Utopia",communication,N/A,100,"Jan 1, 2013","In an active neural handshake, the melded subconscious of the Jaeger pilots creates a “Headspace"" where two minds communicate. Communication is said to feel literal, abstract, subliminal or conversational, depending on the persons involved. Each crew unconsciously negotiates its own consensus expression. Communication through Headspace is said to be quicker than verbal communication; sophisticated deliberations can often play out in a matter of seconds rather than moments.[10]","dystopia, utopia",,"assimilation, military",,8,,,108,,0.074074074074,,,,,,,,,,,,,,,,,,,,,,2013,2121,0.074074074074,108,0.050632911392,0.683544303797,0.050632911392,0.074074074074,0.683544303797,
" Star Trek",Neural transducer,,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Marvel_TNG_1992_annual_cover.jpg,Invasive,Utopia,"rehabilitation, stimulation",implant,10,"Jan 1, 1992","Neural transducers were small devices used to restore mobility to physically disabled individuals. They could pick up the neural signals from the brain and then stimulate the appropriate muscles. The implants were generally not one hundred percent effective, but did allow a patient to recover most mobility. Motor assist bandswere first used to train the patient's nervous system before surgery.",utopia,,medical,,29,,,39,,,,,,,,,,0.74358974359,0.74358974359,,,,0.74358974359,,,0.74358974359,,,,,,1992,2031,0.74358974359,,,,0.162011173184,0.743589743588,0.217877094972,
Star Trek,neural link,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Neural_link.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BOWFhYjE4NzMtOWJmZi00NzEyLTg5NTctYmIxMTU1ZDIxMDAyXkEyXkFqcGdeQXVyNTE1NjY5Mg._V1_.jpg,N/A,Utopia,telepathy,N/A,100,"Jan 1, 1990","A neural link was the term used to describe the telepathic connection between Borg drones, allowing them the act as one mind in the Collective.",utopia,,group mind,,31,,,131,,0.236641221374,,,,,,,,,,,,,,,,,,0.236641221374,,,,1990,2121,0.236641221374,131,0.171270718232,0.723756906077,0.171270718232,0.236641221374,0.723756906077,
Star Trek,Mind Meld,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Kirk_Adams_Chair_2266.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Star-Trek-Cover.jpg,N/A,"Dystopia, Utopia",telepathy,N/A,100,"Jan 1, 1966","A mind meld is a technique for sharing thoughts, experiences, memories, and knowledge with another individual, essentially a limited form of telepathy. It usually requires physical contact with a subject, though instances of mind melds without contact have been seen.[25] When first depicted in the TOS episode ""Dagger of the Mind"", the procedure was said to require several moments of intense concentration and preparation. However, subsequent episodes show contact between minds occurring almost immediately.[26] Although most often seen done with humanoids, mind melds can be performed with members of other species.[27] Spock even once successfully mind melded with a machine[28] and was able to establish telepathic contact with the mechanical probe V'ger.[29]
Mind melds can be used both to erase and restore memories; Spock performs each of these on Captain Kirk during TOS 's third season.[30][31] A mind meld was even used to rejoin Spock's katra (see below) with his physical body.[32] Mind melds can also allow more than one mind to experience memories and sensations, and sometimes even interact with the memories.[33] Some species are able to resist mind melds.[34]","dystopia, utopia",,mind-sharing,,55,,,155,,0.354838709677,,,,,,,,,,,,,,,,,,0.354838709677,,,,1966,2121,0.354838709677,155,0.268292682927,0.756097560976,0.268292682927,0.354838709677,0.756097560976,
Star Trek,Mind Scanner,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Mind-sifter.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BNDRkMTNiNjgtZDIyOC00NmE1LTlkZjEtMGZiNTcyZDQ0NjcxXkEyXkFqcGdeQXVyNTE1NjY5Mg._V1_.jpg,,Dystopia,"manipulation, reading thoughts, recording brain activity, stimulation",N/A,100,"Jan 1, 1967","The device was operated by reaching directly into a subject's mind and recording every thought and bit of knowledge within. Designed with variable settings, which determined the amount of force used, it could be a mind sifter or a mind ripper to its subject. If too much force was used, it would cause brain damage leaving the mind permanently emptied and the subject a ""mental vegetable.""",dystopia,,,,54,,,154,,0.350649350649,,,,,,,,0.350649350649,0.350649350649,0.350649350649,,0.350649350649,,,0.350649350649,0.350649350649,,,,,,1967,2121,0.350649350649,154,0.264705882353,0.754901960784,0.264705882353,0.35064935065,0.754901960784,
" Star Trek",neural interface,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Neural_interface.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BYTM1ZDc0MDEtYjhhMC00ZWFmLThlMTYtOTI2MTdkZDVhODQwXkEyXkFqcGdeQXVyMTQxNzMzNDI._V1_-2.jpg,N/A,"Dystopia, Utopia","linking, reading thoughts",N/A,0,"Jan 1, 1991","A neural interface was a technology that allowed a direct connection to be formed between a computer system and an individual's brain. Technologies which utilized neural interfaces included telepresence units, the suspended animation system of Viorsa's species, and multitronic engrammatic interpreters. (ENT: ""The Aenar""; VOY: ""The Thaw""; DS9: ""Extreme Measures"")","dystopia, utopia",,,,30,,,30,,1,,,,,,1,,,,1,,,,,,,,,,,,1991,2021,1,30,0.166666666667,0.166666666667,0.166666666667,1,0.166666666667,
Avengers: Infinity War,Mind Stone,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Mind_Stone-Clean.png,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/A1t8xCe9jwL._AC_SL1500_.jpg,Non-invasive,"Dystopia, Utopia","dreams, memory, reading thoughts",stone,125,"Jan 1, 1977","Allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; Vision","dystopia, utopia",,,,44,,,169,,0.260355029586,0.260355029586,,0.260355029586,,,,0.260355029586,0.260355029586,,0.260355029586,,,,,,,,,,,,1977,2146,0.260355029586,169,0.226804123711,0.871134020619,0.226804123711,0.260355029585,0.871134020619,
Neuromancer,Microsoft,Novel,William Gibson,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/3746f9d9-1908-40d8-b9eb-58fe96eb98b3_1.9d863a7833b46b1aedf593d5d0e6edae.jpeg,Invasive,"Dystopia, Utopia","knowledge upload, storage",implant,20,"Jan 1, 1984","A small piece of firmware inserted into the brain that provides data on a particular subject, or special features, for the user","dystopia, utopia","Her destination was one of the dubious software rental complexes that lined Memory Lane... The clientele were young, few of them out of their teens. They all seemed to have carbon sockets planted behind the left ear, but she didn't focus on them. The counters that fronted the booths displayed hundreds of slivers of microsoft, angular fragments of colored silicon mounted under oblong transparent bubbles on squares of white cardboard ... Behind [one] counter a boy with a shaven head stared vacantly into space, a dozen spikes of microsoft protruding from the socket behind his ear.
""Larry, you in, man?"" She positioned herself in front of him. The boy's eyes focused. He sat up in his chair and pried a bright magenta splinter from his socket with a dirty thumbnail.",,,37,,,57,,,,,,,0.649122807018,,,0.649122807018,,,,,,,,,0.649122807018,,,,,1984,2041,0.649122807018,,,,0.197860962567,0.649122807017,0.304812834225,
" Star Trek"," neurolytic emitter",,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Neurolytic_emitter.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/MV5BMDc3OGNhYjUtZGYwNi00MjllLWE0MjYtNDFiYmVhNWI0MGJmXkEyXkFqcGdeQXVyNTE1NjY5Mg._V1_.jpg,Non-invasive,Dystopia,memory,tool,75,"Jan 1, 1998","A neurolytic emitter was a medical device utilized by Ramuran tracers to erase the memories of those captured after attempting to leave their homeworld of Ramura. The emitters were used to eliminate all their experiences with the outside world, thus easing their reintegration into Ramuran society. The effects of the emitter were irreversible.",dystopia,,"medical, memories",,23,,,98,,,,,,,,,0.234693877551,0.234693877551,,,,,,,,,,,,,,1998,2096,0.234693877551,,,,0.132947976879,0.234693877552,0.566473988439,
Wonderwoman,Tiara,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/container_wonder-woman-tiara-3d-printing-152533.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Wonder_Woman_311.jpg,Non-invasive,Utopia,robot/object control,"helmet, tiara",0,"Jan 1, 1942",tiara to control her invisible plane,utopia,,,,79,,,79,,1,,,,,,,,,,,,,,1,,,,,,,,1942,2021,1,79,0.344978165939,0.344978165939,0.344978165939,1,0.344978165939,
The Amazing Spider Man,,,,"website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/789679789.PNG.png, website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Dr._Octopus_Marvel.jpg",website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/6152BtMsvWL._SX325_BO1204203200_.jpg,"Invasive, Non-invasive","Dystopia, Utopia",robot/object control,"exoskeleton, implant",5,"Jan 1, 1963","Due to exposure to atomic radiation, Doctor Octopus has acquired the mental ability of psychokinetic control over the four electrically powered, artificial tentacle ""arms"" (a degree of psychokinetic control over them that he can also exercise over vast distances even when they are not connected to him) that are attached to a stainless-steel harness encompassing his lower torso.
He has also developed psychokinetic-telepathic control over an army of ""Octobots"" (small octopus-like drones).[52]",utopia,,robotic control,,58,,,63,,0.920634920635,,,,,,,,,,,,,,0.920634920635,,,,,,,,1963,2026,0.920634920635,63,0.278846153846,0.302884615385,0.278846153846,0.920634920633,0.302884615385,yes
" Star Trek",Altonian brain teaser,,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/Altonian_brain_teaser.jpg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/ccb69f_255d9b0c78414f529f9cdf0a9cc9286amv2.png,Non-invasive,Utopia,robot/object control,tool,0,"Jan 1, 1993","The Altonian brain teaser was a puzzle that responded to neural theta waves. The game was available in Quark's holosuites in 2369, and Jadzia Dax played it on several occasions.
The game consisted of an iridescent sphere, which the player attempted to turn into a solid color. To do so required complete clarity of the mind, and the player needed focus entirely on the task at hand, and no physical contact was involved. If, as was the case with Julian Bashir, one's mind was not focused, the sphere itself would disappear. Dax told him that she had been trying to master the game for 140 years or so. (DS9: ""A Man Alone"")",utopia,,meditation,,28,,,28,,1,,,,,,,,,,,,,,1,,,,,,,,1993,2021,1,28,0.157303370787,0.157303370787,0.157303370787,1,0.157303370787,
Star Wars,"The Force ",,,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/rey-with-the-blast-shield-down-3.jpeg,website_Sci-Fi%20Table_copy_05052021%20dc0ccb9b5767483e9fe411acb20abefa/img_2713.jpg,N/A,Utopia,"robot/object control, telepathy",N/A,125,"Jan 1, 1980","Some Force-sensitive characters derive special, psychic abilities from it, such as telekinesis, mind control, and extrasensory perception. ""Midi-chlorians are microscopic lifeforms that reside within all of your cells. And we are symbionts with them. Lifeforms living together for mutual advantage. Without the midi-chlorians, life could not exist and we would have no knowledge of The Force. They continually speak to us, telling us the will of The Force. When you learn to quiet your mind you’ll hear them speaking to you.""",utopia,,,,41,,,166,,0.246987951807,,,,,,,,,,,,,,0.246987951807,,,,0.246987951807,,,,1980,2146,0.246987951807,166,0.214659685864,0.869109947644,0.214659685864,0.246987951807,0.869109947644,
,,,,,,,,,,,,,,,,,2021,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,0.930907415937,1,0.930907415937,
